Research Field,Number of Authors,Average H-Index,Average i10-Index,Max H-Index,Min H-Index,Total H-Index
Solid State Physics,7,19.57,51.29,31,9,137
Plankton Ecology,2,19.5,35.0,20,19,39
Biocapteurs,2,19.5,52.5,21,18,39
Computational Mechanics,4,19.5,32.5,36,9,78
Biologie Cellulaire,3,19.33,47.67,40,9,58
Data Base,1,19.0,45.0,19,19,19
Micro & Nano Electronics,1,19.0,51.0,19,19,19
Grandes Dformations,1,19.0,29.0,19,19,19
Processus Collaboratifs,1,19.0,63.0,19,19,19
Fermentation,1,19.0,21.0,19,19,19
Hydrologie Des Zones Arides,1,19.0,33.0,19,19,19
Oceanography,1,19.0,29.0,19,19,19
Extraits Des Plantes Et Activits Biologiques,1,19.0,30.0,19,19,19
Smart City,1,19.0,63.0,19,19,19
Statistical Process Control,1,19.0,36.0,19,19,19
Anti-Fraud Education,1,19.0,29.0,19,19,19
Applied Thermodynamic,1,19.0,32.0,19,19,19
Toxicology And Physiology,1,19.0,53.0,19,19,19
Control Charts,1,19.0,36.0,19,19,19
Smart Structures,2,19.0,37.5,36,2,38
Gestion Des Ressources En Eaux,1,19.0,27.0,19,19,19
Fatigue And Mechanical Surface Treatment,1,19.0,30.0,19,19,19
External Auditing,1,19.0,29.0,19,19,19
Biofuels,1,19.0,21.0,19,19,19
Qualit De Service,1,19.0,32.0,19,19,19
Opvc,1,19.0,33.0,19,19,19
Analogue Mixed Mode And Rf Ic Design,1,19.0,40.0,19,19,19
Ressources En Eau Gochimie,1,19.0,27.0,19,19,19
Tice,1,19.0,63.0,19,19,19
Mecanique Et Matriaux,1,19.0,29.0,19,19,19
Electrochimie,2,19.0,24.5,23,15,38
Base De Donnes Temp-Rel,1,19.0,32.0,19,19,19
Environmental Geochemistry,1,19.0,26.0,19,19,19
-Synthse De Molcules Bioactives Partir,1,19.0,36.0,19,19,19
Thin Film Materials,1,19.0,24.0,19,19,19
Olive Oil Process,1,19.0,32.0,19,19,19
Hypertension,1,19.0,31.0,19,19,19
Systmes D'Informations,1,19.0,32.0,19,19,19
Energy Physics,1,19.0,29.0,19,19,19
Huiles Essentilles,1,19.0,30.0,19,19,19
Clinical Nephrology,1,19.0,31.0,19,19,19
Renal Pathology,1,19.0,31.0,19,19,19
Bioenergy,1,19.0,21.0,19,19,19
Hydrologie Isotopique,1,19.0,27.0,19,19,19
Parasitology,4,19.0,31.75,30,14,76
Pde'S,1,19.0,26.0,19,19,19
Radiologie Et Imagerie Mdicale,1,19.0,39.0,19,19,19
Metabolic Diseases,1,19.0,37.0,19,19,19
Renal Transplantation,1,19.0,31.0,19,19,19
Ofet,1,19.0,33.0,19,19,19
Membrane Distillation,1,19.0,32.0,19,19,19
Forensic Accounting,1,19.0,29.0,19,19,19
Gochimie Des Eaux,1,19.0,27.0,19,19,19
Magnetic Nanomaterials,1,19.0,30.0,19,19,19
Semi-Conducteurs Organiques,1,19.0,33.0,19,19,19
Biologie Biotechnologie,1,19.0,39.0,19,19,19
Applied Linguistics/ Language Assessment,1,19.0,30.0,19,19,19
Oled,1,19.0,33.0,19,19,19
Human Genetic,1,19.0,37.0,19,19,19
Physique De L,1,19.0,37.0,19,19,19
Geotechnique,1,19.0,30.0,19,19,19
Materials For Energy,1,19.0,30.0,19,19,19
Transfert Thermique,2,19.0,36.0,36,2,38
Hemodialysis,1,19.0,31.0,19,19,19
Animal Health,2,19.0,38.5,30,8,38
Crues Claire,1,19.0,33.0,19,19,19
Comportement Des Matriaux,1,19.0,29.0,19,19,19
Internal Auditing,1,19.0,29.0,19,19,19
Traitements Des Polluants,1,19.0,30.0,19,19,19
Clay Minerals,1,19.0,28.0,19,19,19
Synthse Organique- Catalyse Par Transfert De,1,19.0,36.0,19,19,19
Bioclimatologie,1,19.0,37.0,19,19,19
Ancient Dna,1,19.0,37.0,19,19,19
Material Characterizations,1,19.0,34.0,19,19,19
Sdn,4,18.75,73.75,55,4,75
Toxicologie,4,18.75,40.0,40,4,75
Material,2,18.5,28.5,27,10,37
Animal Physiology,2,18.5,29.0,30,7,37
Biopesticides,2,18.5,43.5,28,9,37
Superconductivity,2,18.5,29.0,28,9,37
Plant Protection,3,18.33,29.33,26,14,55
Real Time System,3,18.33,44.0,51,1,55
Nanocomposites,7,18.29,28.86,36,11,128
Mineralogy,1,18.0,24.0,18,18,18
Sugar Chemistry,1,18.0,29.0,18,18,18
Odontologie Pdiatrique,1,18.0,28.0,18,18,18
Microbial Biodiversity,1,18.0,27.0,18,18,18
Mthodes Spectroscopiques D'Analyse,1,18.0,35.0,18,18,18
Ckd,1,18.0,41.0,18,18,18
Economie Montaire,1,18.0,20.0,18,18,18
Economtrie Avance,1,18.0,20.0,18,18,18
Geology - Geotechnical Engineering,1,18.0,26.0,18,18,18
Microbiology Mycology Phytopathology,1,18.0,33.0,18,18,18
Process Identification,1,18.0,35.0,18,18,18
Chimie Bioorganique,1,18.0,35.0,18,18,18
Thermal Energy Systems,1,18.0,27.0,18,18,18
Analyse Non Linaire - Systmes Dynamiques,1,18.0,20.0,18,18,18
Multimedia Indexing And Text Detection,1,18.0,22.0,18,18,18
Deep Learning And Biodiv,1,18.0,22.0,18,18,18
Mechanical And Energy Engineering,1,18.0,27.0,18,18,18
Ellipsometry,1,18.0,34.0,18,18,18
Biped Robots,1,18.0,28.0,18,18,18
Prvention Bucco-Dentaire,1,18.0,28.0,18,18,18
Hos Identification,1,18.0,35.0,18,18,18
Distributed Parameter Systems,1,18.0,26.0,18,18,18
Chimie Des Sucres,1,18.0,29.0,18,18,18
Route De Soukra,1,18.0,31.0,18,18,18
Bactriologie,1,18.0,23.0,18,18,18
Theoretical And Experimental Physics,1,18.0,24.0,18,18,18
Traitement Automatique Des Langages Naturels,1,18.0,51.0,18,18,18
Gntique Ressources Vgtales,1,18.0,34.0,18,18,18
Adaptive And Predictive Control,1,18.0,35.0,18,18,18
Gymnastics,1,18.0,24.0,18,18,18
Nephrology - Medicine,1,18.0,27.0,18,18,18
Cell Signalling,1,18.0,22.0,18,18,18
Nephrology,1,18.0,41.0,18,18,18
Impulsive Hybrid Dynamics,1,18.0,28.0,18,18,18
Disease Management,1,18.0,31.0,18,18,18
Diffraction Des Rx,1,18.0,26.0,18,18,18
Cell Biology,1,18.0,22.0,18,18,18
Ultrafast Optics,1,18.0,26.0,18,18,18
Iii-V,1,18.0,34.0,18,18,18
Didactic Of Sports Training,1,18.0,24.0,18,18,18
Speciality Fibers,1,18.0,26.0,18,18,18
Thermodynamique Chimique Et Cintique,1,18.0,31.0,18,18,18
Cristallography,1,18.0,24.0,18,18,18
Statistical Physics,3,18.0,39.33,36,7,54
Static/Dynamic Output And Observer-Based,1,18.0,28.0,18,18,18
Kidney Transplantation,1,18.0,41.0,18,18,18
Marine And Hypersaline Environments,1,18.0,27.0,18,18,18
Dialysis,1,18.0,41.0,18,18,18
Macroconomie Montaire Et Financire,1,18.0,20.0,18,18,18
Corrosion,2,18.0,22.0,25,11,36
Chimie Inorganiques,1,18.0,26.0,18,18,18
Soil-Borne Diseases,1,18.0,31.0,18,18,18
Halophilic Microbial Genome,1,18.0,27.0,18,18,18
Image Mining,2,18.0,37.0,21,15,36
Phytopathology,1,18.0,31.0,18,18,18
Nanotubes De Carbone,1,18.0,27.0,18,18,18
Video Text Localisation,1,18.0,22.0,18,18,18
Cross-Language Information Retrieval,1,18.0,31.0,18,18,18
Supecontinuum Generation,1,18.0,26.0,18,18,18
Lmi And Bmi,1,18.0,28.0,18,18,18
Optoelectronics,3,18.0,38.0,42,5,54
Chaos And Bifurcations,1,18.0,28.0,18,18,18
Biomarkers,3,17.67,33.0,22,14,53
Photonics,3,17.67,30.33,29,1,53
Semiconductors,5,17.6,40.0,36,5,88
Neurosciences,5,17.6,28.6,34,7,88
Information Reliability,2,17.5,32.0,18,17,35
Oxidative Stress,4,17.5,28.75,36,4,70
Material Science,3,17.33,49.0,27,3,52
Material Sciences,4,17.25,34.5,42,3,69
Plant Biotechnology,5,17.2,21.8,26,13,86
Natural Products,5,17.2,25.2,28,9,86
Accounting Manipulation,1,17.0,24.0,17,17,17
Ecologie Marine,2,17.0,27.0,21,13,34
Electrical Machines Control,1,17.0,32.0,17,17,17
Conducting Polymers And Nano-Composites,1,17.0,22.0,17,17,17
Meta-Analysis,2,17.0,21.0,22,12,34
Integrated Pest Management,1,17.0,20.0,17,17,17
Procds Propres,1,17.0,29.0,17,17,17
Molecular Biology And Medical Applications,1,17.0,35.0,17,17,17
Applications,1,17.0,21.0,17,17,17
Software Architectures,1,17.0,52.0,17,17,17
Bio-Informatics,1,17.0,30.0,17,17,17
Gnie Biologique,1,17.0,22.0,17,17,17
Traffic,2,17.0,29.5,28,6,34
Enzymology,1,17.0,25.0,17,17,17
Bone Histomorphometry,1,17.0,31.0,17,17,17
Chemical Ecology,1,17.0,20.0,17,17,17
Electrochemical,1,17.0,20.0,17,17,17
Agent-Based Applications,1,17.0,52.0,17,17,17
Cloud Networking,1,17.0,23.0,17,17,17
Radio Wave Propagation And Antennas,1,17.0,32.0,17,17,17
Substance Use,1,17.0,22.0,17,17,17
Formal Approaches And Theories Of Digital,1,17.0,30.0,17,17,17
Kdd,1,17.0,33.0,17,17,17
Cellular And Molecular Immunology,1,17.0,24.0,17,17,17
Operation Management,1,17.0,27.0,17,17,17
Phytotherapy,1,17.0,23.0,17,17,17
Geochemistry And Ecotoxicology,1,17.0,24.0,17,17,17
Hepatitis C,1,17.0,22.0,17,17,17
Cloud And Network Architectures,1,17.0,23.0,17,17,17
Data Replication,1,17.0,25.0,17,17,17
Hiv,1,17.0,22.0,17,17,17
Pediatric Urology,1,17.0,38.0,17,17,17
Chimie Des Substances Naturelles,1,17.0,35.0,17,17,17
Salt,1,17.0,26.0,17,17,17
Histology,1,17.0,31.0,17,17,17
Cistanche,1,17.0,26.0,17,17,17
Science Religion News Physics Math Business,1,17.0,13.0,17,17,17
Algorithmics,1,17.0,26.0,17,17,17
Intermetalic,1,17.0,28.0,17,17,17
Synthetic Biology/Metabolic Engineering,1,17.0,26.0,17,17,17
Bone Metastases,1,17.0,31.0,17,17,17
Seed Priming,1,17.0,26.0,17,17,17
Preventive And Community Medicine,1,17.0,29.0,17,17,17
Orobanche,1,17.0,26.0,17,17,17
Bivalves,1,17.0,23.0,17,17,17
Pediatric Surgery,1,17.0,38.0,17,17,17
Knowledge Discovery And Data Mining,1,17.0,26.0,17,17,17
Bio-Statistics,1,17.0,30.0,17,17,17
Smarts Grids And Hvdc,1,17.0,32.0,17,17,17
Cyber Defense And Intelligence,1,17.0,30.0,17,17,17
Chimie Textile,1,17.0,22.0,17,17,17
Network Management,1,17.0,23.0,17,17,17
Physical Activity,3,17.0,26.67,29,8,51
Laparoscopy,1,17.0,38.0,17,17,17
Physique Des Capteurs De Gaz,1,17.0,23.0,17,17,17
Porous Media,2,17.0,27.5,20,14,34
Aliments Traditionnels,1,17.0,24.0,17,17,17
Cloud Sensors,1,17.0,30.0,17,17,17
Technologies Mdicales,1,17.0,29.0,17,17,17
Systmes Flous,1,17.0,39.0,17,17,17
Operational Research And Combinatorial,1,17.0,27.0,17,17,17
Machine Vision,1,17.0,25.0,17,17,17
Power System And Renewable Energy,1,17.0,31.0,17,17,17
Pde - Differential Geometry - Nonlinear,1,17.0,22.0,17,17,17
Biosensors,2,17.0,25.5,20,14,34
Infinite Dimensional Analysis,1,17.0,32.0,17,17,17
Molecular Interactions,1,17.0,31.0,17,17,17
Genetics. Human Genetics. Molecular Biology,1,17.0,28.0,17,17,17
Interfacial Enzymology And Physiology Of,1,17.0,21.0,17,17,17
Histomorphometry,1,17.0,31.0,17,17,17
Gc-Ms,2,17.0,29.0,29,5,34
Csr - Socially Responsible Marketing - Csr,1,17.0,28.0,17,17,17
Cuscute,1,17.0,26.0,17,17,17
Physique Molculaire,1,17.0,21.0,17,17,17
Distributes Systems,1,17.0,52.0,17,17,17
Corbone Organique Du Sol,1,17.0,25.0,17,17,17
Physique Nucleaire Et Des Hautes Energies,1,17.0,18.0,17,17,17
Magnetic Properties And Magnetocaloric,1,17.0,28.0,17,17,17
Green Biochemistry,1,17.0,25.0,17,17,17
Traitement Des Eaux,6,16.67,25.67,34,4,100
Theoretical Computer Science,2,16.5,33.0,29,4,33
Plant Physiology And Biochemistry,2,16.5,24.5,26,7,33
Mobile Learning,2,16.5,54.5,30,3,33
Online Learning,2,16.5,54.5,30,3,33
Bioprocess,2,16.5,21.5,18,15,33
Solid State,2,16.5,34.0,17,16,33
Rsistance Aux Antibiotiques,2,16.5,20.0,18,15,33
Gnie Textile,2,16.5,34.5,27,6,33
Oxides,2,16.5,21.0,19,14,33
Pharmacologie,8,16.5,28.0,26,8,132
Isotopes,3,16.33,36.33,35,6,49
Combinatorics,4,16.25,28.25,29,5,65
Intelligent Machines,5,16.2,83.0,49,3,81
Dam Stady,1,16.0,25.0,16,16,16
Pool Boiling,1,16.0,23.0,16,16,16
Document Analysis,2,16.0,39.0,26,6,32
Mechanics Of Advanced Materials,1,16.0,24.0,16,16,16
Crystallography,1,16.0,31.0,16,16,16
Chief Data Officer,1,16.0,18.0,16,16,16
Distributed System,1,16.0,22.0,16,16,16
Heat And Mass Transfert,1,16.0,20.0,16,16,16
Antimicrobial Peptides,1,16.0,20.0,16,16,16
Sdg,1,16.0,18.0,16,16,16
Systems Biology,1,16.0,24.0,16,16,16
Organisation Spatiale,1,16.0,24.0,16,16,16
Microfiltration - Glasses - Judd-Ofelt,1,16.0,20.0,16,16,16
Sports Science,1,16.0,24.0,16,16,16
Libya,1,16.0,26.0,16,16,16
Routing And Scheduling,1,16.0,21.0,16,16,16
Environmental Impacts Of Transport,1,16.0,21.0,16,16,16
Immunologie Des Tumeurs,1,16.0,19.0,16,16,16
Thin Film,1,16.0,26.0,16,16,16
Teritorial,1,16.0,28.0,16,16,16
Multimedia Applications,1,16.0,24.0,16,16,16
Biologie Vgtale,2,16.0,24.0,21,11,32
Ml/Dl,1,16.0,20.0,16,16,16
Numerical Tudies,1,16.0,26.0,16,16,16
Optical Sensors,2,16.0,26.0,22,10,32
Hazard Study,1,16.0,25.0,16,16,16
Hydrologie Climatologie,1,16.0,24.0,16,16,16
Electrohydrodynamic Techniques,1,16.0,23.0,16,16,16
Plant-Microbe Interaction,1,16.0,18.0,16,16,16
Multi Omics Data Integration,1,16.0,24.0,16,16,16
Geological Mapping,1,16.0,25.0,16,16,16
Conduite,1,16.0,29.0,16,16,16
Heat Trasfer,1,16.0,26.0,16,16,16
Hvac Systems,1,16.0,23.0,16,16,16
Heat Pipe Cooling And Heating Systems,1,16.0,23.0,16,16,16
Surfaces Et Interfaces,1,16.0,21.0,16,16,16
Refrigerating Machines,1,16.0,23.0,16,16,16
Gntique Des Populations,2,16.0,22.5,16,16,32
E-Government,3,16.0,23.67,21,7,48
Semiconductor And Devices,1,16.0,25.0,16,16,16
Clinical Biochemistry,2,16.0,21.5,22,10,32
Gntique De La Conservation,1,16.0,25.0,16,16,16
Bacteriocins,1,16.0,20.0,16,16,16
Lactic Acid Bacteria,1,16.0,20.0,16,16,16
Nanotechnologie,1,16.0,25.0,16,16,16
Quality Characterization,1,16.0,18.0,16,16,16
Social Movements,1,16.0,26.0,16,16,16
Applied Harmonic Analysis,1,16.0,22.0,16,16,16
Capteur Et Biocapteur,1,16.0,21.0,16,16,16
Diagnostics And Wireless Power Tran,1,16.0,25.0,16,16,16
Biotechnologie Vgtale Et Interactions,1,16.0,24.0,16,16,16
Eau,1,16.0,23.0,16,16,16
Chemistry Environnement,1,16.0,21.0,16,16,16
Electrical Vehicle,1,16.0,29.0,16,16,16
Network Security,10,16.0,39.9,51,1,160
System Biology,1,16.0,18.0,16,16,16
International Relations,1,16.0,26.0,16,16,16
Approximation Theory And Special Functions,1,16.0,22.0,16,16,16
Reactive Decision Making,1,16.0,20.0,16,16,16
Cadmium,1,16.0,20.0,16,16,16
Amnagement,1,16.0,24.0,16,16,16
Conomie Des Ressources Naturelles,1,16.0,28.0,16,16,16
Adaptive Systems,2,16.0,49.0,27,5,32
Molybdates,1,16.0,31.0,16,16,16
Cellular & Molecular Bioengineering,1,16.0,22.0,16,16,16
Energy Finance,1,16.0,25.0,16,16,16
Management Gouvernance,1,16.0,19.0,16,16,16
De,1,16.0,22.0,16,16,16
Health Claims,1,16.0,18.0,16,16,16
Cellular Biology,1,16.0,19.0,16,16,16
Dveloppement Locale,1,16.0,28.0,16,16,16
Environnement Et Procds,1,16.0,23.0,16,16,16
Stabilit Et Control Des Systemes Non Linaire,1,16.0,19.0,16,16,16
Inorganic Chemitry,1,16.0,49.0,16,16,16
Statistics & Econometrics,1,16.0,16.0,16,16,16
Artificial Immune Systems,1,16.0,20.0,16,16,16
Microbiologie Et Immunologie,1,16.0,16.0,16,16,16
Embedded Systems For Communication And,1,16.0,32.0,16,16,16
Biomaterials - Bioceramics,1,16.0,22.0,16,16,16
Educational Technologies,2,16.0,54.5,30,2,32
Biocombustible,1,16.0,20.0,16,16,16
Ecology And Physiology Of Halophytes,1,16.0,26.0,16,16,16
Silicon,1,16.0,20.0,16,16,16
Photovoltaics,4,16.0,23.5,29,8,64
Recherches Scientifiques,1,16.0,20.0,16,16,16
Rehabilitation,2,16.0,28.5,32,0,32
Host Pathogen Interaction,1,16.0,24.0,16,16,16
Arsenates,1,16.0,31.0,16,16,16
Phytochemistry-Food Science And,1,16.0,22.0,16,16,16
Composites,6,15.83,32.17,60,3,95
Materials Science And Engineering,3,15.67,29.67,25,4,47
Plant Ecology,3,15.67,17.33,19,10,47
Culture,3,15.67,75.0,38,3,47
Numerical Methods,3,15.67,20.33,23,10,47
Heat And Mass Transfer,10,15.6,32.3,51,1,156
Fractional-Order Systems,2,15.5,22.0,21,10,31
Signal And Image Processing,2,15.5,32.0,20,11,31
Physique Des Semiconducteurs,2,15.5,27.5,22,9,31
Science Du Sol,2,15.5,23.0,17,14,31
Phytoplankton,2,15.5,21.0,19,12,31
Nonlinear Optics,2,15.5,20.5,18,13,31
Modeling,14,15.36,27.64,36,3,215
Nanotechnology,13,15.31,49.15,59,1,199
Nonlinear Analysis,5,15.2,41.0,49,0,76
Copd,1,15.0,19.0,15,15,15
Biochemistry Of Polysaccharides And,1,15.0,18.0,15,15,15
Nuclear Physics,2,15.0,21.5,15,15,30
Physique Des Matriaux Et Physique De Solide,1,15.0,22.0,15,15,15
Local Adaptation,1,15.0,23.0,15,15,15
Acoustics Engineering,1,15.0,16.0,15,15,15
Hearing Perception,1,15.0,16.0,15,15,15
Forage Crops,1,15.0,23.0,15,15,15
Semantic Technology,1,15.0,17.0,15,15,15
Fractal Geometry,1,15.0,20.0,15,15,15
Multiple Criteria Decision Making,1,15.0,21.0,15,15,15
Sadt,1,15.0,31.0,15,15,15
Photofission And Fission Of U,1,15.0,25.0,15,15,15
Physique Des Solides,3,15.0,23.0,26,9,45
Biomedical Research,1,15.0,24.0,15,15,15
Regionalisation,1,15.0,21.0,15,15,15
Sparse Coding,1,15.0,19.0,15,15,15
Rheumatologie,1,15.0,21.0,15,15,15
Stockage D'Nergie,1,15.0,19.0,15,15,15
Social Media Analytics,1,15.0,17.0,15,15,15
Manganese Oxide,1,15.0,19.0,15,15,15
Economie D'Entreprise,1,15.0,26.0,15,15,15
Model Calibrting,1,15.0,21.0,15,15,15
Gomatriaux,1,15.0,16.0,15,15,15
Synthse Et Caractrisations Dilectriques Et,1,15.0,22.0,15,15,15
Quantification,1,15.0,22.0,15,15,15
Quality Assessment,1,15.0,22.0,15,15,15
Dyslipidmie,1,15.0,21.0,15,15,15
Operations Research - Management,1,15.0,23.0,15,15,15
Distributed Systems And Network Security,1,15.0,21.0,15,15,15
Biological Sciences,5,15.0,27.8,32,6,75
Control Engineering,1,15.0,24.0,15,15,15
Mechanical Ventilation,1,15.0,19.0,15,15,15
Forensic Dna Typing,1,15.0,19.0,15,15,15
Nlp And Semantic Web,1,15.0,23.0,15,15,15
Electronics And Embedded Systems,1,15.0,20.0,15,15,15
Magnetocaloric Effects,1,15.0,19.0,15,15,15
Human Robot Interaction,1,15.0,24.0,15,15,15
Marine Ecology,1,15.0,19.0,15,15,15
Bionano Robots,1,15.0,20.0,15,15,15
Fluorescence,1,15.0,22.0,15,15,15
Optical Communication,1,15.0,17.0,15,15,15
Condensed Matter Physics : Magnetism,1,15.0,21.0,15,15,15
Project Management,1,15.0,22.0,15,15,15
Genetic And Molecular Biology,1,15.0,23.0,15,15,15
Urbistics,1,15.0,16.0,15,15,15
Multibiometrics,1,15.0,23.0,15,15,15
Benthic Ecology,1,15.0,19.0,15,15,15
Human Genetics,4,15.0,27.75,24,7,60
Energies Renouvelables & Commande Des,1,15.0,17.0,15,15,15
Abiotic And Biotic Stresses,1,15.0,23.0,15,15,15
Information Extraction,1,15.0,25.0,15,15,15
Radiative Transfer,1,15.0,22.0,15,15,15
Tolrancement,1,15.0,18.0,15,15,15
Finance Analytics,1,15.0,21.0,15,15,15
Semiconducor Physics,1,15.0,21.0,15,15,15
Gnie Des Procds,1,15.0,21.0,15,15,15
Video Coding Signal Processing,1,15.0,18.0,15,15,15
Analysis & Modeling,1,15.0,31.0,15,15,15
Soft Matter Physics,2,15.0,29.0,26,4,30
Infrastructures,1,15.0,16.0,15,15,15
Conception Intgre,1,15.0,18.0,15,15,15
Medico-Legal Autopsy,1,15.0,19.0,15,15,15
Estimation,1,15.0,17.0,15,15,15
Growth,2,15.0,18.0,20,10,30
Lte,1,15.0,28.0,15,15,15
Nanostructure,1,15.0,31.0,15,15,15
Forensic Genetics,1,15.0,19.0,15,15,15
Condensed Matter,4,15.0,31.25,42,0,60
Vision Science,1,15.0,18.0,15,15,15
Financial Accounting,2,15.0,20.0,19,11,30
Cardiopathologie,1,15.0,21.0,15,15,15
Grid-Tie Converters,1,15.0,24.0,15,15,15
Arabic Ocr,1,15.0,21.0,15,15,15
Big Data Architecture,1,15.0,17.0,15,15,15
Stratigraphie,1,15.0,18.0,15,15,15
Physique Des Matriaux Semi Conducteurs,1,15.0,20.0,15,15,15
Caractrisation Optique,1,15.0,33.0,15,15,15
Sa-Rt,1,15.0,31.0,15,15,15
Watersheds,1,15.0,21.0,15,15,15
Hydrology Modeling,1,15.0,21.0,15,15,15
Zoonoses,1,15.0,21.0,15,15,15
Plant Genetics And Genomics,1,15.0,23.0,15,15,15
Budget Policy & Tax Policy,1,15.0,17.0,15,15,15
Speaker Verification,1,15.0,16.0,15,15,15
Nanoscience & Nanotechnology,1,15.0,20.0,15,15,15
Stabilit,1,15.0,22.0,15,15,15
Palogographie,1,15.0,18.0,15,15,15
Photovoltaic Conversion,2,15.0,24.5,27,3,30
Photovoltaique,1,15.0,19.0,15,15,15
Observation,1,15.0,22.0,15,15,15
Biosensing,1,15.0,21.0,15,15,15
Geometric Measure Theory,1,15.0,20.0,15,15,15
Biochimie Gntique Maladie De Surcharge,1,15.0,25.0,15,15,15
Assemblage,1,15.0,18.0,15,15,15
Multispectral,1,15.0,22.0,15,15,15
Psycho-Acoustics,1,15.0,16.0,15,15,15
Critical Phenomenon-Phase Transition- Liquid,1,15.0,21.0,15,15,15
Iot And Industry 4.0,1,15.0,24.0,15,15,15
Grh,1,15.0,24.0,15,15,15
Sleep Disorders,1,15.0,19.0,15,15,15
Algorithms,5,14.8,23.8,32,4,74
Luminescence,5,14.8,26.2,31,4,74
Renewable Energies,8,14.75,28.38,36,3,118
Biomatriaux,4,14.75,32.0,21,7,59
Chimie Analytique,7,14.71,18.86,30,4,103
Environnement,26,14.62,37.46,58,0,380
Chronobiology,2,14.5,22.5,25,4,29
Schage,2,14.5,18.0,17,12,29
Agroalimentaire,2,14.5,19.5,17,12,29
Process Control,2,14.5,23.0,18,11,29
Rseaux De Neurones Artificiels,2,14.5,26.0,17,12,29
Ecologie,4,14.5,26.0,21,4,58
Pigntique,2,14.5,23.0,20,9,29
Uncertainty Theorie,2,14.5,34.0,25,4,29
Stability And Complex Systems,2,14.5,43.0,27,2,29
Biofuel,2,14.5,16.5,16,13,29
Heavy Metals,3,14.33,19.0,16,11,43
Arabic Information Retrieval,3,14.33,24.0,18,8,43
Architectures Reconfigurables,3,14.33,29.33,22,9,43
Networks,4,14.25,26.0,25,6,57
Biodiversit,4,14.25,22.5,19,9,57
Heat Transfer,9,14.22,26.0,36,1,128
Modlisation,11,14.09,26.91,62,4,155
Human Biology,1,14.0,19.0,14,14,14
Chimiomtrie,1,14.0,18.0,14,14,14
Wavelets/Fractals,1,14.0,32.0,14,14,14
Natural Sciences,1,14.0,15.0,14,14,14
Mtabolomique,1,14.0,18.0,14,14,14
Fog/Iot,1,14.0,27.0,14,14,14
Natural Active Molecules,1,14.0,18.0,14,14,14
Agro-Physiology-Abiotic Stresses,1,14.0,14.0,14,14,14
Heat And Mass Transfer And Fluids,1,14.0,18.0,14,14,14
Environmental Toxicology,1,14.0,15.0,14,14,14
Thermal Spraying,1,14.0,19.0,14,14,14
Arabic Handwriting Recognition,1,14.0,15.0,14,14,14
Digital Electronic,1,14.0,18.0,14,14,14
Traitement Du Signal Et Des Images,1,14.0,16.0,14,14,14
Ingan,1,14.0,17.0,14,14,14
Machine Layout,1,14.0,30.0,14,14,14
Traitement D'Images,7,14.0,37.43,60,2,98
Ai & Robotics,1,14.0,16.0,14,14,14
Machine Translation,1,14.0,26.0,14,14,14
Active Structures,1,14.0,18.0,14,14,14
Dyeing And Printing Of Textiles,1,14.0,16.0,14,14,14
Immunodeficiencies,1,14.0,16.0,14,14,14
Radio Link Quality Estimation,1,14.0,16.0,14,14,14
Function Theory,1,14.0,18.0,14,14,14
Banking Behavior,1,14.0,22.0,14,14,14
Transport Sediments,1,14.0,16.0,14,14,14
Integrated Pest Managmenet,1,14.0,20.0,14,14,14
Dna Repair,1,14.0,19.0,14,14,14
Algan,1,14.0,17.0,14,14,14
Macrofinance,1,14.0,17.0,14,14,14
Structural Performance Monitoring,1,14.0,18.0,14,14,14
Electrochemisty,1,14.0,16.0,14,14,14
Archeology,1,14.0,21.0,14,14,14
Fvm,1,14.0,19.0,14,14,14
Renewables Energies,2,14.0,21.5,17,11,28
Financial Mathematics,1,14.0,32.0,14,14,14
Physique Atomique,2,14.0,18.0,17,11,28
Biologie Computationnelle,1,14.0,18.0,14,14,14
Microbiologie Environnementale Et,1,14.0,14.0,14,14,14
Finite Volume Method,1,14.0,16.0,14,14,14
Polymer Synthesis,1,14.0,20.0,14,14,14
Consumer Behaviour,4,14.0,58.0,38,2,56
Nems,2,14.0,19.0,20,8,28
Formal Modeling - Verification - Refinement,1,14.0,24.0,14,14,14
Postural Balance And Health,1,14.0,17.0,14,14,14
Time Scales,1,14.0,17.0,14,14,14
Biologie Molculaire Et Cellulaire,1,14.0,18.0,14,14,14
Cleaner Textile Processes,1,14.0,16.0,14,14,14
Zno,1,14.0,17.0,14,14,14
Ancient History,1,14.0,21.0,14,14,14
Infectieuse,2,14.0,16.5,25,3,28
Maintenance,2,14.0,21.0,25,3,28
Quality Postharvest Physiology Horticulture,1,14.0,19.0,14,14,14
Semantic,1,14.0,26.0,14,14,14
Sbse,3,14.0,18.67,32,2,42
Tuberculose,2,14.0,15.0,22,6,28
Decision Support,1,14.0,18.0,14,14,14
Respiratoire,2,14.0,16.5,25,3,28
Socialized Industrial Iot,1,14.0,21.0,14,14,14
Service,1,14.0,16.0,14,14,14
Sensing Properties,1,14.0,18.0,14,14,14
Cht,1,14.0,19.0,14,14,14
Activit Physique,1,14.0,17.0,14,14,14
Applied Microbiology,1,14.0,16.0,14,14,14
Provskites Cramiques Et Hybrides,1,14.0,17.0,14,14,14
Textile Materials,1,14.0,16.0,14,14,14
Realtime Systems,1,14.0,19.0,14,14,14
